# checkSRC_URI result
# root : /data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/
# date : 2026-05-22 11:10:31
# STATUS	FILE	URI
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-gm_gen12/meta-tiger-desktop-gm_gen12/recipes-kernel/intel-ethernet/ixgbevf_4.6.1.bb	https://sourceforge.net/projects/e1000/files/ixgbevf%20stable/${PV}/${BP}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-gm_gen12/meta-tiger-desktop-gm_gen12/recipes-kernel/iwlwifi/backport-iwlwifi_git.bb	git://git.kernel.org/pub/scm/linux/kernel/git/iwlwifi/backport-iwlwifi;branch=release/LinuxCore${PV}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-gm_gen12/meta-tiger-desktop-gm_gen12/recipes-kernel/linux/linux-intel-dev.bb	git://git.yoctoproject.org/yocto-kernel-cache;type=kmeta;name=meta;branch=${KMETA_BRANCH};destsuffix=${KMETA}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-gm_gen12/meta-tiger-desktop-gm_gen12/recipes-support/json-for-modern-cpp/json-for-modern-cpp_3.0.0.bb	https://github.com/nlohmann/json/archive/refs/tags/v${PV}.zip
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-icon25/meta-tiger-desktop-icon25/recipes-devtools/json-c/json-c_0.13.1.bb	https://s3.amazonaws.com/json-c_releases/releases/${BP}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-icon25/meta-tiger-desktop-icon25/recipes-devtools/qmi-hook-supporter/qmi-hook-supporter.bb	file://${PKG_DIR_NAME}/${SRC_SUB_PATH}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-icon25/meta-tiger-desktop-icon25/recipes-support/json-for-modern-cpp/json-for-modern-cpp_3.0.0.bb	https://github.com/nlohmann/json/archive/refs/tags/v${PV}.zip
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-icon25_pu/meta-tiger-desktop-icon25-pu/recipes-devtools/json-c/json-c_0.13.1.bb	https://s3.amazonaws.com/json-c_releases/releases/${BP}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-icon25_pu/meta-tiger-desktop-icon25-pu/recipes-devtools/qmi-hook-supporter/qmi-hook-supporter.bb	file://${PKG_DIR_NAME}/${SRC_SUB_PATH}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-icon25_pu/meta-tiger-desktop-icon25-pu/recipes-support/json-for-modern-cpp/json-for-modern-cpp_3.0.0.bb	https://github.com/nlohmann/json/archive/refs/tags/v${PV}.zip
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-tsu_25.5my/meta-tiger-desktop-tsu_25.5my/recipes-proxy/vsomeip/vsomeip_2.14.16.bb	git://vgit.lge.com:29420/oss/github.com/GENIVI/${BPN}.git;tag=2.14.16;protocol=ssh
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-tsu_25.5my/meta-tiger-desktop-tsu_25.5my/recipes-support/json-for-modern-cpp/json-for-modern-cpp_3.0.0.bb	https://github.com/nlohmann/json/archive/refs/tags/v${PV}.zip
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-tsu_26my/meta-tiger-desktop-tsu_26my/recipes-proxy/vsomeip/vsomeip_2.14.16.bb	git://vgit.lge.com:29420/oss/github.com/GENIVI/${BPN}.git;tag=2.14.16;protocol=ssh
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-tsu_26my/meta-tiger-desktop-tsu_26my/recipes-support/json-for-modern-cpp/json-for-modern-cpp_3.0.0.bb	https://github.com/nlohmann/json/archive/refs/tags/v${PV}.zip
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-vcm_sa515m/meta-tiger-desktop-vcm_sa515m/recipes-devtools/qmi-hook-supporter/qmi-hook-supporter.bb	file://${PKG_DIR_NAME}/${SRC_SUB_PATH}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-vcm_sa515m/meta-tiger-desktop-vcm_sa515m/recipes-support/json-for-modern-cpp/json-for-modern-cpp_3.0.0.bb	https://github.com/nlohmann/json/archive/refs/tags/v${PV}.zip
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/poky/documentation/ref-manual/examples/mtd-makefile/mtd-utils_1.0.0.bb	ftp://ftp.infradead.org/pub/mtd-utils/mtd-utils-${PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/poky/meta-intel/dynamic-layers/openembedded-layer/recipes-bsp/amt/lms_2011.0.0.0.bb	file://lms_drop_rpath_${PV}.diff
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/poky/meta-intel/recipes-bsp/ace/ace_6.5.8.bb	https://github.com/DOCGroup/ACE_TAO/releases/download/ACE%2BTAO-6_5_8/ACE-${PV}.tar.bz2
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/poky/meta-intel/recipes-core/microcode/iucode-tool_2.3.1.bb	https://gitlab.com/iucode-tool/releases/raw/master/iucode-tool_${PV}.tar.xz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/poky/meta-intel/recipes-kernel/intel-ethernet/ixgbe_5.7.1.bb	https://sourceforge.net/projects/e1000/files/ixgbe%20stable/${PV}/${BP}.tar.gz
